"","case_number","cmte_id","cmte_name","report_type","report_year","fine_amount","office","state","district","cand_name","late_filed_not_filed","paid_yes_no","line_image","end_line_image","timestamp"
"29",36,"C00342725","FRIENDS OF MARK BREWER","Q2",2000,8000,"H","TX",7,"BREWER, JOHN MARK","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501537+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501566+0","26-AUG-18"
"30",37,"C00348045","THE AVE MARIA LIST PAC","Q2",2000,975,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500443+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500456+0","26-AUG-18"
"31",38,"C00280743","ASSOCIATION OF AMERICAN RAILROADS POLITICAL ACTION COMMITTEE (RAILPAC)","Q2",2000,700,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500457+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500469+0","26-AUG-18"
"32",39,"C00250134","COCA-COLA REFRESHMENTS USA, INC NONPARTISAN POLITICAL ACTION COMMITTEE FOR GOOD GOVERNMENT","Q2",2000,2600,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500470+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500483+0","26-AUG-18"
"33",40,"C00018945","DORSEY NATIONAL FUND","Q2",2000,1350,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500484+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500496+0","26-AUG-18"
"34",41,"C00088765","FORT JAMES CORPORATION POLITICAL ACTION COMMITTEE FKAFORT JAMES GOOD GOVT PAC","Q2",2000,650,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500497+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500510+0","26-AUG-18"
"35",42,"C00303073","INTERNATIONAL COUNCIL OF CRUISE LINES POLITICAL ACTION COMM (ICCL-PAC)","Q2",2000,1200,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500511+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500524+0","26-AUG-18"
"36",43,"C00006759","LOCAL UNION DRIVE NO 25","Q2",2000,600,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502028+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502060+0","26-AUG-18"
"37",44,"C00214643","NJ STATE LABORERS PAC/ LABORERS' INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC","Q2",2000,2700,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500525+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500537+0","26-AUG-18"
"38",45,"C00074328","SPEAR, LEEDS & KELLOGG GOOD GOVERNMENT FUND COMMITTEE","Q2",2000,400,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500538+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500550+0","26-AUG-18"
"39",46,"C00325647","FIRST COMMAND FINANCIAL PLANNING, INC. PAC","Q2",2000,775,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500551+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500563+0","26-AUG-18"
"40",47,"C00065219","WINE INSTITUTE PAC","Q2",2000,1125,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500564+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500576+0","26-AUG-18"
"41",48,"C00135558","MISSOURI DEMOCRATIC STATE COMMITTEE","Q2",2000,6800,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501024+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501063+0","26-AUG-18"
"42",49,"C00102293","BANKBOSTON CORPORATION POLITICAL ACTION COMMITTEE","Q2",2000,1800,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500577+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500589+0","26-AUG-18"
"43",50,"C00147512","CONGRESSIONAL BLACK CAUCUS PAC","Q2",2000,900,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501064+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501094+0","26-AUG-18"
"44",51,"C00330019","TWENTY-FIRST CENTURY FOX, INC. PAC (FOX PAC)","Q2",2000,900,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500590+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500603+0","26-AUG-18"
"45",52,"C00160101","PECO ENERGY COMPANY FEDERAL PAC","Q2",2000,1800,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501995+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502027+0","26-AUG-18"
"46",53,"C00014092","SAN BERNARDINO COUNTY REPUBLICAN CENTRAL COMMITTEE-FEDERAL","Q2",2000,1800,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500776+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500859+0","26-AUG-18"
"47",55,"C00164848","FEDERAL MANAGERS' ASSOCIATION POLITICAL ACTION COMMITTEE","M7",2000,300,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500604+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500612+0","26-AUG-18"
"48",56,"C00331835","NAVIENT CORPORATION PAC (NAVIENT PAC)","M7",2000,600,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500613+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500621+0","26-AUG-18"
"49",57,"C00113639","AVENTIS PHARMACEUTICALS PRODUCTS INC. POLITICAL ACTION COMMITTEE","M7",2000,900,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500622+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500633+0","26-AUG-18"
"50",58,"C00344176","BARBARA COOPER FOR CONGRESS","12P",2000,1650,"H","MO",2,"COOPER, BARBARA J","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092504149+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092504205+0","26-AUG-18"
"51",75,"C00344762","STEVE MONEY FOR CONGRESS","12P",2000,325,"H","OK",2,"MONEY, STEVE","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500634+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500642+0","26-AUG-18"
"52",76,"C00354746","TROUTT FOR CONGRESS","12P",2000,275,"H","OK",2,"TROUTT, ERIC DEAN","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502167+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502189+0","26-AUG-18"
"53",77,"C00353458","TOM SULLIVAN FOR CONGRESS COMMITTEE","12P",2000,650,"H","FL",4,"SULLIVAN, THOMAS HENRY","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500860+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500878+0","26-AUG-18"
"54",78,"C00343418","JEAN ELLIOTT BROWN FOR CONGRESS","12P",2000,650,"H","FL",16,"BROWN, JEAN ELLIOTT","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092534283+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092534362+0","26-AUG-18"
"55",79,"C00346056","FRIENDS OF JENNIFER CARROLL","12P",2000,7500,"H","FL",3,"CARROLL, JENNIFER SANDRA","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500879+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500896+0","26-AUG-18"
"56",80,"C00264028","LINCOLN DIAZ-BALART FOR CONGRESS","12P",2000,2000,"H","FL",21,"DIAZ-BALART, LINCOLN","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501095+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501115+0","26-AUG-18"
"57",81,"C00355768","JOHN FEE FOR CONGRESS","12P",2000,1300,"H","NY",30,"FEE, JOHN","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530342+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530384+0","26-AUG-18"
"58",82,"C00329375","MEEKS FOR CONGRESS","12P",2000,2000,"H","NY",5,"MEEKS, GREGORY W.","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500897+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500915+0","26-AUG-18"
"59",83,"C00343848","CLARKE 2000","12P",2000,3000,"H","NY",11,"CLARKE, UNA S","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502190+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502213+0","26-AUG-18"
"60",84,"C00025379","FRIENDS OF JOHN LAFALCE","12P",2000,5000,"H","NY",29,"LAFALCE, JOHN J","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530220+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530268+0","26-AUG-18"
"61",85,"C00208207","FRIENDS FOR HOUGHTON","12P",2000,9000,"H","NY",29,"HOUGHTON, AMORY JR","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092532426+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092532622+0","26-AUG-18"
"62",87,"C00353375","PETER ABAIR FOR CONGRESS COMMITTEE","12P",2000,900,"H","MA",1,"ABAIR, PETER JON","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502214+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502235+0","26-AUG-18"
"63",88,"C00303503","CONSECO INC CONCERNED CITIZENS POLITICAL ACTION COMMITTEE (PAC)","M9",2000,675,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501567+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501613+0","26-AUG-18"
"64",89,"C00275123","LEONARDO DRS PAC","M9",2000,425,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500916+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500932+0","26-AUG-18"
"65",90,"C00164848","FEDERAL MANAGERS' ASSOCIATION POLITICAL ACTION COMMITTEE","M9",2000,325,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501387+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501485+0","26-AUG-18"
"66",91,"C00345199","MIDNIGHT SUN POLITICAL ACTION COMMITTEE","M9",2000,500,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501614+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501630+0","26-AUG-18"
"67",92,"C00104802","DELTA AIR LINES POLITICAL ACTION COMMITTEE","M9",2000,0,"","",NA,"","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501833+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501894+0","26-AUG-18"
"68",93,"C00327064","TREA SENIOR CITIZENS LEAGUE, INC. POLITICAL ACTION COMMITTEE (TSCL-PAC)","M9",2000,425,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500933+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500950+0","26-AUG-18"
"69",94,"C00082040","CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA PAC (US CHAMBER PAC)","M9",2000,250,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501631+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501647+0","26-AUG-18"
"70",95,"C00150367","NATIONAL VENTURE CAPITAL ASSOCIATION VENTUREPAC","M9",2000,500,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501648+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501662+0","26-AUG-18"
"71",96,"C00351312","ROD MARTIN FOR CONGRESS INC","Q3",2000,475,"H","AR",2,"MARTIN, ROD D","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530147+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530219+0","26-AUG-18"
"72",97,"C00336537","PEGRAM FOR CONGRESS","Q3",2000,475,"H","CA",36,"PEGRAM, ROBERT T (BOB)","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502236+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502297+0","26-AUG-18"
"73",98,"C00346064","RAY HAYNES FOR US SENATE","Q3",2000,388,"S","CA",0,"HAYNES, RAYMOND NEAL JR","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501663+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501720+0","26-AUG-18"
"74",99,"C00079020","PORTER FOR CONGRESS COMMITTEE","Q3",2000,850,"H","IL",10,"PORTER, JOHN E","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092540788+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092540928+0","26-AUG-18"
"75",100,"C00343061","LEE STEERS FOR CONGRESS / 2000","Q3",2000,525,"H","KY",1,"STEERS, ROY LEE JR","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502298+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502358+0","26-AUG-18"
"76",101,"C00355008","ROSENTHAL FOR CONGRESS","Q3",2000,0,"H","MN",4,"ROSENTHAL, MARY FOSTER","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_21092532365+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092532425+0","26-AUG-18"
"77",102,"C00351767","JANEZICH FOR US SENATE COMMITTEE","Q3",2000,1725,"S","MN",0,"JANEZICH, JERRY R","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502359+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502419+0","26-AUG-18"
"78",103,"C00264127","DANNER FOR CONGRESS","Q3",2000,825,"H","MO",6,"DANNER, PAT","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501924+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501994+0","26-AUG-18"
"79",104,"C00354415","MOORE FOR US SENATE","Q3",2000,700,"S","NE",0,"MOORE, SCOTT DALE","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501721+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501760+0","26-AUG-18"
"80",106,"C00344762","STEVE MONEY FOR CONGRESS","Q3",2000,4350,"H","OK",2,"MONEY, STEVE","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092534363+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092534436+0","26-AUG-18"
"81",107,"C00344804","TOM FOLEY FOR US SENATE","Q3",2000,375,"S","PA",0,"FOLEY, TOM","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502420+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502480+0","26-AUG-18"
"82",109,"C00343087","CATHY MCCONN FOR CONGRESS","Q3",2000,500,"H","TX",7,"MCCONN, CATHERINE M","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092534437+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092534508+0","26-AUG-18"
"83",110,"C00346338","JON AMORES FOR CONGRESS","Q3",2000,450,"H","WV",2,"AMORES, JON","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530385+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530497+0","26-AUG-18"
"84",111,"C00346874","HARRIS FOR CONGRESS","Q3",2000,900,"H","AR",4,"HARRIS, BRUCE C","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_21092504209+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092504253+0","26-AUG-18"
"85",112,"C00348508","DEWAYNE GRAHAM FOR CONGRESS COMMITTEE","Q3",2000,900,"H","AR",4,"GRAHAM, CECIL DEWAYNE","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092533420+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092533516+0","26-AUG-18"
"86",113,"C00329193","JUDY SMITH FOR CONGRESS","Q3",2000,900,"H","AR",4,"SMITH, JUDY","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092503769+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092503837+0","26-AUG-18"
"87",114,"C00350405","KILIAN FOR CONGRESS COMMITTEE","Q3",2000,0,"H","CA",10,"KILIAN, DENNIS M","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530002+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530073+0","26-AUG-18"
"88",116,"C00149732","FRIENDS OF RON PACKARD","Q3",2000,900,"H","CA",48,"PACKARD, RONALD C","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530498+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530629+0","26-AUG-18"
"89",117,"C00344457","TICO PEREZ FOR CONGRESS CAMPAIGN","Q3",2000,0,"H","FL",8,"PEREZ, HECTOR A TICO","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_21092531169+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092531273+0","26-AUG-18"
"90",118,"C00349290","TROTTER 2000 FOR CONGRESS","Q3",2000,900,"H","IL",2,"TROTTER, DONNE E","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092504254+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092504298+0","26-AUG-18"
"91",119,"C00350298","HOCHBERG FOR CONGRESS","Q3",2000,9500,"H","IL",10,"HOCHBERG, ANDREW S","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092532155+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092532274+0","26-AUG-18"
"92",120,"C00344317","BAYNE FOR CONGRESS","Q3",2000,4500,"H","IL",17,"BAYNE, HAROLD ROBERT","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530630+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530708+0","26-AUG-18"
"93",121,"C00353490","BOB GRIFFITHS FOR CONGRESS","Q3",2000,310,"H","IN",7,"GRIFFITHS, BOB","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092534509+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092534594+0","26-AUG-18"
"94",122,"C00347740","BIG MACK FOR CONGRESS","Q3",2000,79,"H","ME",1,"MACK, ADAM","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530709+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530810+0","26-AUG-18"
"95",123,"C00347831","DOOLEY FOR CONGRESS","Q3",2000,5500,"H","MO",1,"DOOLEY, CHARLIE A","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_21092524974+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092525046+0","26-AUG-18"
"96",125,"C00343319","MCNARY FOR CONGRESS COMMITTEE","Q3",2000,6500,"H","MO",2,"MCNARY, GENE","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530269+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092530341+0","26-AUG-18"
"97",126,"C00347526","CITIZENS FOR CLASPILL FOR CONGRESS","Q3",2000,900,"H","MO",9,"CLASPILL, JAMES LOUIS","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_21092534952+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092535031+0","26-AUG-18"
