"","Committee_Id","Committee_Name","Link_Image","Committee_Election_State","Committee_Election_District","Report_Type","Receipt_Date","Coverage_Start_Date","Coverage_End_Date","Quarterly_Contribution","Semi_Annual_Contribution"
"11","C00505552","HEIDI FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201807170200519660+0","ND",NA,"JULY QUARTERLY","13-JUL-18","24-MAY-18","30-JUN-18",20120,20120
"12","C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201807180200561753+0","",NA,"JULY QUARTERLY","13-JUL-18","01-APR-18","30-JUN-18",454067,1836167
"13","C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_201807180200561494+0","OH",0,"JULY QUARTERLY","13-JUL-18","19-APR-18","30-JUN-18",27986,226140
"14","C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201807190200592750+0","WI",0,"JULY QUARTERLY","13-JUL-18","01-APR-18","30-JUN-18",37623,87076
"15","C00516047","ANGUS KING FOR US SENATE CAMPAIGN","http://docquery.fec.gov/cgi-bin/fecimg/?_201807180200572523+0","ME",0,"JULY QUARTERLY","12-JUL-18","01-APR-18","30-JUN-18",21911,0
"16","C00676965","RICK SCOTT FOR FLORIDA","http://docquery.fec.gov/cgi-bin/fecimg/?_201807180200570622+0","",NA,"JULY QUARTERLY","12-JUL-18","01-APR-18","30-JUN-18",97200,97200
"17","C00677468","GREEN SENATE IMPACT 2018","http://docquery.fec.gov/cgi-bin/fecimg/?_201807100200479927+0","AZ",0,"JULY QUARTERLY","10-JUL-18","01-APR-18","30-JUN-18",247650,247650
"18","C00668046","KELLY STANDLEY FOR HOUSE OF REPRESENTATIVES","http://docquery.fec.gov/cgi-bin/fecimg/?_201806299115200024+0","",NA,"JULY QUARTERLY / SEMI-ANNUAL","29-JUN-18","01-APR-18","30-JUN-18",0,0
"19","C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201806219115161565+0","",NA,"JUNE MONTHLY","21-JUN-18","01-MAY-18","31-MAY-18",96650,0
"20","C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201806199113750546+0","",NA,"MAY MONTHLY","19-JUN-18","01-MAY-18","31-MAY-18",96650,0
"21","C00606939","ROSEN FOR NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?_201805310200396848+0","NV",0,"PRE-PRIMARY","31-MAY-18","01-APR-18","23-MAY-18",47780,0
"22","C00448563","3RD AND LONG PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_201805209112188181+0","",NA,"MAY MONTHLY","20-MAY-18","01-APR-18","30-APR-18",0,0
"23","C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201805189112101671+0","",NA,"MAY MONTHLY","18-MAY-18","01-APR-18","30-APR-18",210800,0
"24","C00571638","AMERICANS FOR HEALTH AND EDUCATION, PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_201805079111994318+0","",NA,"APRIL QUARTERLY","07-MAY-18","01-JAN-18","31-MAR-18",0,0
"25","C00648600","CRAWFORD FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201805090300211099+0","NE",1,"PRE-PRIMARY","07-MAY-18","01-APR-18","25-APR-18",0,0
"26","C00667121","RANE EIR SESSIONSCOMMITTEE TO ELECT","http://docquery.fec.gov/cgi-bin/fecimg/?_201805069111990951+0","KY",NA,"PRE-PRIMARY","06-MAY-18","01-APR-18","02-MAY-18",0,0
"27","C00667121","RANE EIR SESSIONSCOMMITTEE TO ELECT","http://docquery.fec.gov/cgi-bin/fecimg/?_201805039111749564+0","",NA,"APRIL QUARTERLY","03-MAY-18","01-JAN-18","31-MAR-18",0,0
"28","C00667121","RANE EIR SESSIONSCOMMITTEE TO ELECT","http://docquery.fec.gov/cgi-bin/fecimg/?_201805039111749572+0","KY",NA,"PRE-PRIMARY","03-MAY-18","01-APR-18","02-MAY-18",0,0
"29","C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_201804260200362049+0","OH",0,"PRE-PRIMARY","26-APR-18","01-APR-18","18-APR-18",66285,0
"30","C00670612","GUNSENSENOW","http://docquery.fec.gov/cgi-bin/fecimg/?_201804180300206769+0","",NA,"APRIL QUARTERLY","18-APR-18","01-JAN-18","30-MAR-18",0,0
"31","C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201804179110320948+0","",NA,"APRIL MONTHLY","17-APR-18","01-MAR-18","31-MAR-18",524100,0
"32","C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201804190200328660+0","WI",0,"APRIL QUARTERLY","14-APR-18","01-JAN-18","31-MAR-18",49452,0
"33","C00663708","EDEN, MADELINE KATHERINE","http://docquery.fec.gov/cgi-bin/fecimg/?_201804149108092544+0","",NA,"APRIL QUARTERLY","14-APR-18","01-JAN-18","31-MAR-18",0,0
"34","C00333427","WALDEN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201804139108071986+0","OR",2,"APRIL QUARTERLY","13-APR-18","01-JAN-18","31-MAR-18",27187,27187
"35","C00606939","ROSEN FOR NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?_201804170200250813+0","NV",0,"APRIL QUARTERLY","13-APR-18","01-JAN-18","31-MAR-18",19072,0
"36","C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201804170200246344+0","",NA,"APRIL QUARTERLY","13-APR-18","01-JAN-18","31-MAR-18",1275550,0
"37","C00500843","ELIZABETH FOR MA INC","http://docquery.fec.gov/cgi-bin/fecimg/?_201804190200317084+0","MA",0,"APRIL QUARTERLY","13-APR-18","01-JAN-18","31-MAR-18",27149,0
"38","C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_201804160200228545+0","OH",0,"APRIL QUARTERLY","13-APR-18","01-JAN-18","31-MAR-18",96760,0
"39","C00668046","KELLY STANDLEY FOR HOUSE OF REPRESENTATIVES","http://docquery.fec.gov/cgi-bin/fecimg/?_201804129107988410+0","",NA,"APRIL QUARTERLY","12-APR-18","01-JAN-18","31-MAR-18",0,0
"40","C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201803209096638232+0","",NA,"MARCH MONTHLY","20-MAR-18","01-FEB-18","28-FEB-18",144000,0
"41","C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201802209094625673+0","",NA,"FEBRUARY MONTHLY","20-FEB-18","01-JAN-18","31-JAN-18",91750,0
"42","C00606939","ROSEN FOR NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?_201802050200109577+0","NV",0,"YEAR-END","02-FEB-18","01-OCT-17","31-DEC-17",38635,75629
"43","C00582064","TRADITIONAL MARRIAGE COALITION","http://docquery.fec.gov/cgi-bin/fecimg/?_201802010300191432+0","",NA,"YEAR-END","01-FEB-18","","",0,0
"44","C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201802060200124336+0","WI",0,"YEAR-END","31-JAN-18","01-OCT-17","31-DEC-17",37311,90496
"45","C00410803","WHITEHOUSE FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201802060200124432+0","RI",0,"YEAR-END","31-JAN-18","01-OCT-17","31-DEC-17",40200,48900
"46","C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201801319091220348+0","",NA,"MONTHLY SEMI-ANNUAL (YE)","31-JAN-18","01-JUL-17","31-DEC-17",0,592571.19
"47","C00558437","BONNIE WATSON COLEMAN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201801319091079249+0","NJ",12,"QUARTERLY YEAR END / SEMI-ANN","31-JAN-18","01-OCT-17","31-DEC-17",18430,20940
"48","C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_201802020200082198+0","OH",0,"YEAR-END","31-JAN-18","01-OCT-17","31-DEC-17",36722,57252
"49","C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_201801319091013919+0","",NA,"MONTHLY YEAR END / SEMI-ANNUAL","31-JAN-18","01-JUL-17","31-DEC-17",24400,24400
"50","C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201801310200055452+0","",NA,"YEAR-END","31-JAN-18","01-JUL-17","31-DEC-17",790409,790409
"51","C00333427","WALDEN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201801309090935653+0","OR",2,"QUARTERLY YEAR END / SEMI-ANN","30-JAN-18","01-OCT-17","31-DEC-17",2325,24975
"52","C00516047","ANGUS KING FOR US SENATE CAMPAIGN","http://docquery.fec.gov/cgi-bin/fecimg/?_201802050200115518+0","ME",0,"YEAR-END","29-JAN-18","01-JUL-17","31-DEC-17",46465,53517
"53","C00333427","WALDEN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201710149075674408+0","OR",2,"OCTOBER QUARTERLY","14-OCT-17","01-JUL-17","30-SEP-17",22650,22650
"54","C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201710180200332299+0","WI",0,"OCTOBER QUARTERLY","14-OCT-17","01-JUL-17","30-SEP-17",39884,0
"55","C00370213","AMERICAN HEALTH QUALITY ASSOCIATION POLITICAL ACTION COMMITTEE (AHQA-PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?_201709129074650502+0","",NA,"MONTHLY SEMI-ANNUAL (MY)","12-SEP-17","","",0,0
"56","C00458828","TEAM GRAHAM INC","http://docquery.fec.gov/cgi-bin/fecimg/?_201709060200260154+0","",0,"JULY QUARTERLY","28-AUG-17","01-APR-17","30-JUN-17",71200,71200
"57","C00410803","WHITEHOUSE FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201708250200256625+0","RI",0,"JULY QUARTERLY","22-AUG-17","01-APR-17","30-JUN-17",31060,62827
"58","C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201708099070307995+0","",NA,"QUARTERLY MID-YEAR / SEMI-ANN","09-AUG-17","01-JAN-17","30-JUN-17",748100,748100
"59","C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201707310200245093+0","",NA,"MID-YEAR REPORT","31-JUL-17","01-JAN-17","30-JUN-17",1940376,1940376
"60","C00630426","JON OSSOFF FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201707219067132995+0","GA",6,"POST-RUN-OFF","21-JUL-17","01-JUN-17","10-JUL-17",0,0
"61","C00582064","TRADITIONAL MARRIAGE COALITION","http://docquery.fec.gov/cgi-bin/fecimg/?_201707170300163132+0","",NA,"JULY QUARTERLY","17-JUL-17","","15-JUL-17",0,0
"62","C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201707180200204288+0","WI",0,"JULY QUARTERLY","15-JUL-17","01-APR-17","30-JUN-17",20884,29684
"63","C00458828","TEAM GRAHAM INC","http://docquery.fec.gov/cgi-bin/fecimg/?_201707190200214846+0","",0,"JULY QUARTERLY","15-JUL-17","01-APR-17","30-JUN-17",71200,71200
"64","C00410803","WHITEHOUSE FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201707190200215139+0","RI",0,"JULY QUARTERLY","14-JUL-17","01-APR-17","30-JUN-17",0,0
"65","C00486563","MANCHIN FOR WEST VIRGINIA","http://docquery.fec.gov/cgi-bin/fecimg/?_201707170200174708+0","WV",0,"JULY QUARTERLY","14-JUL-17","01-APR-17","30-JUN-17",0,0
"66","C00637165","GREEN SENATE IMPACT 2018","http://docquery.fec.gov/cgi-bin/fecimg/?_201707170200178969+0","",NA,"JULY QUARTERLY","14-JUL-17","01-APR-17","30-JUN-17",219600,219600
"67","C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_201707170200179446+0","OH",0,"JULY QUARTERLY","14-JUL-17","01-APR-17","30-JUN-17",27050,76926
"68","C00333427","WALDEN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201707149066632153+0","OR",2,"JULY QUARTERLY / SEMI-ANNUAL","14-JUL-17","01-APR-17","30-JUN-17",9350,38350
"69","C00027466","NRSC","http://docquery.fec.gov/cgi-bin/fecimg/?_201707130200165353+0","",NA,"MID-YEAR REPORT","13-JUL-17","01-APR-17","30-JUN-17",33900,73400
"70","C00630426","JON OSSOFF FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201706089056413493+0","GA",6,"PRE-RUN-OFF","08-JUN-17","30-MAR-17","31-MAY-17",130571.24,0
"71","C00410803","WHITEHOUSE FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201705020200147410+0","RI",0,"APRIL QUARTERLY","26-APR-17","01-JAN-17","31-MAR-17",0,0
"72","C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201704180200115269+0","WI",0,"APRIL QUARTERLY","15-APR-17","01-JAN-17","31-MAR-17",0,0
"73","C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_201704170200109040+0","OH",0,"APRIL QUARTERLY","14-APR-17","01-JAN-17","31-MAR-17",34709,0
"74","C00410803","WHITEHOUSE FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201704200200117340+0","RI",0,"APRIL QUARTERLY","14-APR-17","01-JAN-17","31-MAR-17",28881,0
"75","C00333427","WALDEN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201704149052245856+0","OR",2,"APRIL QUARTERLY","14-APR-17","01-JAN-17","31-MAR-17",29000,29000
"76","C00027466","NRSC","http://docquery.fec.gov/cgi-bin/fecimg/?_201704130200089112+0","",NA,"APRIL QUARTERLY","13-APR-17","01-JAN-17","31-MAR-17",39500,0
"77","C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201704129052084841+0","",NA,"APRIL QUARTERLY","12-APR-17","01-JAN-17","31-MAR-17",696600,0
"78","C00630426","JON OSSOFF FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201704069052026252+0","GA",6,"PRE-SPECIAL","06-APR-17","21-DEC-16","29-MAR-17",38741.29,0
"79","C00625624","AMERICAN MADE COALITION PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_201703270300144662+0","",NA,"YEAR-END","27-MAR-17","01-JAN-16","31-DEC-16",0,0
"80","C00573212","STRICKLAND FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201703030200079646+0","OH",0,"YEAR-END","03-MAR-17","01-OCT-16","31-DEC-16",0,226853
"81","C00582064","TRADITIONAL MARRIAGE COALITION","http://docquery.fec.gov/cgi-bin/fecimg/?_201703020300143047+0","",NA,"OCTOBER QUARTERLY","02-MAR-17","","24-FEB-17",0,0
"82","C00582064","TRADITIONAL MARRIAGE COALITION","http://docquery.fec.gov/cgi-bin/fecimg/?_201703020300143057+0","",NA,"APRIL QUARTERLY","02-MAR-17","","24-FEB-17",0,0
"83","C00582064","TRADITIONAL MARRIAGE COALITION","http://docquery.fec.gov/cgi-bin/fecimg/?_201703020300143052+0","",NA,"JULY QUARTERLY","02-MAR-17","","24-FEB-17",0,0
"84","C00582064","TRADITIONAL MARRIAGE COALITION","http://docquery.fec.gov/cgi-bin/fecimg/?_201703020300143042+0","",NA,"YEAR-END","02-MAR-17","","24-FEB-17",0,0
"85","C00588772","MAGGIE FOR NH","http://docquery.fec.gov/cgi-bin/fecimg/?_201702220200074501+0","NH",0,"YEAR-END","22-FEB-17","29-NOV-16","31-DEC-16",0,189098
"86","C00578013","RUSS FOR WISCONSIN","http://docquery.fec.gov/cgi-bin/fecimg/?_201702270200079402+0","WI",0,"YEAR-END","22-FEB-17","29-NOV-16","31-DEC-16",0,313595
"87","C00589820","DEBORAH ROSS FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201702270200079407+0","NC",0,"YEAR-END","22-FEB-17","29-NOV-16","31-DEC-16",0,225618
"88","C00619411","HILLARY ACTION FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_201701319042360208+0","NY",NA,"QUARTERLY SEMI-ANNUAL (YE)","31-JAN-17","29-NOV-16","31-DEC-16",0,769600
"89","C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_201701319041601705+0","",NA,"MONTHLY SEMI-ANNUAL (YE)","31-JAN-17","29-NOV-16","31-DEC-16",0,44000
"90","C00586537","HILLARY VICTORY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_201701319042360646+0","NY",NA,"PRE-GENERAL","31-JAN-17","01-OCT-16","19-OCT-16",2528864.48,0
"91","C00586537","HILLARY VICTORY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_201701319042360801+0","NY",NA,"QUARTERLY SEMI-ANNUAL (YE)","31-JAN-17","29-NOV-16","31-DEC-16",0,14771032.61
"92","C00586537","HILLARY VICTORY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_201701319042360549+0","NY",NA,"OCTOBER QUARTERLY","31-JAN-17","01-JUL-16","30-SEP-16",10769947.97,0
"93","C00419978","CAROL SHEA-PORTER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201701319042331638+0","NH",1,"QUARTERLY YEAR END / SEMI-ANN","31-JAN-17","01-JUL-16","31-DEC-16",23052.43,23052.43
"94","C00574889","TAMMY FOR ILLINOIS","http://docquery.fec.gov/cgi-bin/fecimg/?_201702100200071326+0","IL",0,"YEAR-END","31-JAN-17","29-NOV-16","31-DEC-16",0,0
"95","C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201702010200044836+0","",NA,"YEAR-END","31-JAN-17","29-NOV-16","31-DEC-16",0,670602
"96","C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201702030200059716+0","WI",0,"YEAR-END","31-JAN-17","01-OCT-16","31-DEC-16",0,0
"97","C00575795","HILLARY FOR AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_201701319042372068+0","NY",NA,"QUARTERLY SEMI-ANNUAL (YE)","31-JAN-17","29-NOV-16","31-DEC-16",0,449540.99
"98","C00582809","KATIE MCGINTY FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201701310200020450+0","PA",0,"YEAR-END","31-JAN-17","29-NOV-16","31-DEC-16",0,466732
"99","C00458398","BENNET FOR COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?_201701310200029005+0","CO",0,"YEAR-END","31-JAN-17","29-NOV-16","31-DEC-16",0,105944
"100","C00575548","CATHERINE CORTEZ MASTO FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201701310200020241+0","NV",0,"YEAR-END","31-JAN-17","29-NOV-16","31-DEC-16",0,407538
"101","C00578484","KIRKPATRICK FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201701310200020314+0","AZ",0,"YEAR-END","31-JAN-17","01-OCT-16","31-DEC-16",0,98704
"102","C00572925","MISSOURIANS FOR KANDER","http://docquery.fec.gov/cgi-bin/fecimg/?_201701310200020246+0","",0,"YEAR-END","31-JAN-17","29-NOV-16","31-DEC-16",0,103279
"103","C00333427","WALDEN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201701309041564925+0","OR",2,"QUARTERLY YEAR END / SEMI-ANN","30-JAN-17","29-NOV-16","31-DEC-16",1000,36149
"104","C00504688","OTERO FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201701159041392458+0","",NA,"QUARTERLY YEAR END / SEMI-ANN","15-JAN-17","01-OCT-16","31-DEC-16",0,0
"105","C00589820","DEBORAH ROSS FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201612130200775431+0","NC",0,"POST-GENERAL","09-DEC-16","20-OCT-16","28-NOV-16",42395,0
"106","C00582809","KATIE MCGINTY FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201612080200671186+0","PA",0,"POST-GENERAL","08-DEC-16","20-OCT-16","28-NOV-16",95392,0
"107","C00572925","MISSOURIANS FOR KANDER","http://docquery.fec.gov/cgi-bin/fecimg/?_201612080200671181+0","MO",0,"POST-GENERAL","08-DEC-16","20-OCT-16","28-NOV-16",44863,0
"108","C00619411","HILLARY ACTION FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_201612089040484675+0","NY",NA,"POST-GENERAL","08-DEC-16","20-OCT-16","28-NOV-16",100200,0
"109","C00586537","HILLARY VICTORY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_201612089040485164+0","NY",NA,"POST-GENERAL","08-DEC-16","20-OCT-16","28-NOV-16",953671,0
"110","C00578013","RUSS FOR WISCONSIN","http://docquery.fec.gov/cgi-bin/fecimg/?_201701040200000405+0","WI",0,"POST-GENERAL","08-DEC-16","20-OCT-16","28-NOV-16",103637,0
"111","C00508317","LEADERS FOR FAMILIES SUPER PAC, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_201612089040068392+0","",NA,"POST-GENERAL","08-DEC-16","20-OCT-16","28-NOV-16",0,0
"112","C00575795","HILLARY FOR AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_201612089040485213+0","NY",NA,"POST-GENERAL","08-DEC-16","20-OCT-16","28-NOV-16",18750,0
"113","C00574889","TAMMY FOR ILLINOIS","http://docquery.fec.gov/cgi-bin/fecimg/?_201612140200797006+0","IL",0,"POST-GENERAL","08-DEC-16","20-OCT-16","28-NOV-16",21603,0
"114","C00588772","MAGGIE FOR NH","http://docquery.fec.gov/cgi-bin/fecimg/?_201612090200723248+0","NH",0,"POST-GENERAL","08-DEC-16","20-OCT-16","28-NOV-16",48729,0
"115","C00575548","CATHERINE CORTEZ MASTO FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201612090200727027+0","NV",0,"PRE-GENERAL","08-DEC-16","01-OCT-16","19-OCT-16",20317,0
"116","C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201612080200681706+0","",NA,"POST-GENERAL","08-DEC-16","20-OCT-16","28-NOV-16",37400,0
"117","C00575548","CATHERINE CORTEZ MASTO FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201612090200727032+0","NV",0,"POST-GENERAL","08-DEC-16","20-OCT-16","28-NOV-16",82358,0
"118","C00384883","UNIVERSITY OF SOUTH ALABAMA FEDERAL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_201612079037699714+0","AL",NA,"POST-GENERAL","07-DEC-16","08-NOV-16","08-DEC-16",0,0
"119","C00607028","RISE UP","http://docquery.fec.gov/cgi-bin/fecimg/?_201611289037566888+0","NE",NA,"POST-GENERAL","28-NOV-16","20-OCT-16","28-NOV-16",0,0
"120","C00587584","AMERICANS FOR HEALTH","http://docquery.fec.gov/cgi-bin/fecimg/?_201611210300119604+0","",NA,"OCTOBER QUARTERLY","21-NOV-16","01-JUL-16","30-SEP-16",0,0
"121","C00622738","FELLOWSHIP UNITE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_201611080300118065+0","",NA,"PRE-GENERAL","08-NOV-16","","02-NOV-16",0,2500
"122","C00586537","HILLARY VICTORY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_201610279036926257+0","NY",NA,"PRE-GENERAL","27-OCT-16","01-OCT-16","19-OCT-16",2504964.48,0
"123","C00575795","HILLARY FOR AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_201610279036940114+0","NY",NA,"APRIL QUARTERLY","27-OCT-16","01-JAN-16","31-MAR-16",1569085,0
"124","C00575795","HILLARY FOR AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_201610279036941147+0","NY",NA,"JULY QUARTERLY / SEMI-ANNUAL","27-OCT-16","01-APR-16","30-JUN-16",1190025.34,2914998.52
"125","C00588772","MAGGIE FOR NH","http://docquery.fec.gov/cgi-bin/fecimg/?_201610280200630003+0","NH",NA,"PRE-GENERAL","27-OCT-16","01-OCT-16","19-OCT-16",50591,0
"126","C00575795","HILLARY FOR AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_201610279036924932+0","NY",NA,"PRE-GENERAL","27-OCT-16","01-OCT-16","19-OCT-16",77234.66,0
"127","C00619411","HILLARY ACTION FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_201610279036924557+0","NY",NA,"PRE-GENERAL","27-OCT-16","01-OCT-16","19-OCT-16",100200,0
"128","C00589820","DEBORAH ROSS FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201610280200631906+0","NC",0,"PRE-GENERAL","27-OCT-16","01-OCT-16","19-OCT-16",45714,0
"129","C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201610270200589547+0","",NA,"PRE-GENERAL","27-OCT-16","01-OCT-16","19-OCT-16",105200,0
"130","C00582809","KATIE MCGINTY FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201610280200624959+0","PA",0,"PRE-GENERAL","27-OCT-16","01-OCT-16","19-OCT-16",67011,0
