"","FILER_ID","FILER_NAME","FILER_.ADDRESS","FILER_.CITY","FILER_.STATE","FILER_.ZIP","AMENDMENT_IND","BEG_CVG_DT","END_CVG_DT","PUBLIC_DISTRIBUTION_DT","TOTAL_DONATIONS_THIS_STMT","TOTAL_DISBURSEMENTS_THIS_STMT","BEGIN_IMAGE_NUM","END_IMAGE_NUM","RECEIPT_DT"
"16","C30001978","PATRIOTIC VETERANS INC","414 N ORLEANS PLAZA #320","CHICAGO","IL",60654,"A","30-APR-18","08-MAY-18","30-APR-18",45000,45000,201806250300215200,201806250300215200,"25-JUN-18                                                                                                                                      "
"17","C30002786","SOCAL HEALTH CARE COALITION A PROJECT OF SIXTEEN THIRTY FUND","1201 CONNECTICUT AVE NW","WASHINGTON","DC",20036,"N","17-MAY-18","13-JUN-18","17-MAY-18",60074.5,120149,201805219112194560,201805219112194560,"18-MAY-18                                                                                           "
"18","C30002778","AMERICA FIRST POLICIES INC.","1400 CRYSTAL DRIVE STE 850","ARLINGTON","VA",22202,"N","15-MAY-18","21-MAY-18","15-MAY-18",0,183278,201805169112045056,201805169112045056,"16-MAY-18                                                                                                                                "
"19","C30001978","PATRIOTIC VETERANS INC","414 N ORLEANS PLAZA #320","CHICAGO","IL",60654,"N","30-APR-18","08-MAY-18","30-APR-18",45000,45000,201805070300210272,201805070300210272,"07-MAY-18                                                                                                                                      "
"20","C30002422","EASTERN CAROLINA CONSERVATIVE FUND","PO BOX 97275","RALEIGH","NC",27624,"N","01-MAY-18","02-MAY-18","02-MAY-18",0,2188,201805019111745152,201805019111745152,"01-MAY-18                                                                                                                                           "
"21","C30002422","EASTERN CAROLINA CONSERVATIVE FUND","PO BOX 97275","RALEIGH","NC",27624,"N","23-APR-18","25-APR-18","24-APR-18",0,26408,201804249111725760,201804249111725760,"24-APR-18                                                                                                                                          "
"22","C30002778","AMERICA FIRST POLICIES INC.","1400 CRYSTAL DRIVE STE 850","ARLINGTON","VA",22202,"N","23-APR-18","26-APR-18","23-APR-18",0,62126,201804249111726304,201804249111726304,"24-APR-18                                                                                                                                 "
"23","C30002679","45COMMITTEE INC.","PO BOX 710993","HERNDON","VA",20171,"N","21-APR-18","24-APR-18","21-APR-18",0,110991,201804229111719392,201804229111719392,"22-APR-18                                                                                                                                                          "
"24","C30002679","45COMMITTEE INC.","PO BOX 710993","HERNDON","VA",20171,"N","21-APR-18","24-APR-18","21-APR-18",0,56679,201804229111719392,201804229111719392,"22-APR-18                                                                                                                                                           "
"25","C30002760","GREAT AMERICA ALLIANCE","203 SOUTH UNION STREET","ALEXANDRIA","VA",22314,"A","01-DEC-17","12-DEC-17","01-DEC-17",0,80153,201801169090421152,201801169090421152,"16-JAN-18                                                                                                                                         "
"26","C30002760","GREAT AMERICA ALLIANCE","203 SOUTH UNION STREET","ALEXANDRIA","VA",22314,"N","01-DEC-17","12-DEC-17","01-DEC-17",0,10000,201712059087688832,201712059087688832,"02-DEC-17                                                                                                                                         "
"27","C30002752","SAJNA CYRUS","P.O. BOX 60501","FORT WORTH","TX",76115,"N","09-MAY-17","31-DEC-17","09-MAY-17",0,0,201705119053515936,201705119053515936,"09-MAY-17                                                                                                                                                                "
"28","C30001135","AMERICANS FOR JOB SECURITY","107 SOUTH WEST STREET PMB 551","ALEXANDRIA","VA",22314,"N","24-AUG-10","24-AUG-10","03-SEP-10",46518.98,0,201702169049700320,201702169049700320,"16-FEB-17                                                                                                                           "
"29","C30002661","WEST VIRGINIANS FOR FAIR COURTS","505 WYNTERHALL LANE","SOUTH CHARLESTON","WV",25309,"A","01-NOV-16","01-NOV-16","01-NOV-16",0,30000,201701099041007776,201701099041007776,"09-JAN-17                                                                                                                             "
"30","C30002745","ONE NATION UNDER GOD FOUNDATION (501C3)","414 N ORLEANS PLAZA #320","CHICAGO","IL",60654,"N","02-NOV-16","07-NOV-16","02-NOV-16",25250,23750,201701030300127904,201701030300127904,"03-JAN-17                                                                                                                     "
"31","C30002745","ONE NATION UNDER GOD FOUNDATION (501C3)","414 N ORLEANS PLAZA #320","CHICAGO","IL",60654,"N","01-NOV-16","07-NOV-16","01-NOV-16",86500,38400,201701030300127904,201701030300127904,"03-JAN-17                                                                                                                     "
"32","C30002745","ONE NATION UNDER GOD FOUNDATION (501C3)","914 N ORLEANS PLAZA #320","CHICAGO","IL",60654,"N","02-NOV-16","07-NOV-16","02-NOV-16",51000,40000,201701030300127872,201701030300127904,"03-JAN-17                                                                                                                     "
"33","C30002612","NEW DIRECTION PAC","3518 FREMONT AVENUE N","SEATTLE","WA",98103,"A","07-OCT-16","07-OCT-16","07-OCT-16",4e+05,43749,201612289040903872,201612289040903872,"28-DEC-16                                                                                                                                             "
"34","C30002612","NEW DIRECTION PAC","3518 FREMONT AVENUE N","SEATTLE","WA",98103,"A","20-OCT-16","21-OCT-16","19-OCT-16",0,160967,201612289040903936,201612289040903936,"28-DEC-16                                                                                                                                                 "
"35","C30002653","MAINSTREAM VOTERS OF WA","119 1ST AVENUE S  S320","SEATTLE","WA",98104,"A","29-OCT-16","30-OCT-16","29-OCT-16",0,17721,201612289040903872,201612289040903872,"28-DEC-16                                                                                                                                           "
"36","C30002653","MAINSTREAM VOTERS OF WA","119 1ST AVENUE S  S320","SEATTLE","WA",98104,"A","24-OCT-16","24-OCT-16","24-OCT-16",0,5972,201612289040903872,201612289040903872,"28-DEC-16                                                                                                                                            "
"37","C30002661","WEST VIRGINIANS FOR FAIR COURTS","505 WYNTERHALL LANE","SOUTH CHARLESTON","WV",25309,"A","24-OCT-16","25-OCT-16","25-OCT-16",0,80000,201611309037584288,201611309037584288,"30-NOV-16                                                                                                                             "
"38","C30002596","CAROLINIANS FOR FREEDOM","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"A","04-OCT-16","04-OCT-16","04-OCT-16",0,678122,201611189037213440,201611189037213440,"18-NOV-16                                                                                                                                  "
"39","C30002596","CAROLINIANS FOR FREEDOM","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"A","11-OCT-16","11-OCT-16","11-OCT-16",0,734342,201611189037213440,201611189037213440,"18-NOV-16                                                                                                                                  "
"40","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"A","21-OCT-16","21-OCT-16","21-OCT-16",0,36000,201611189037213408,201611189037213408,"18-NOV-16                                                                                                                          "
"41","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"A","05-OCT-16","05-OCT-16","05-OCT-16",0,694593,201611189037213440,201611189037213440,"18-NOV-16                                                                                                                         "
"42","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"A","05-OCT-16","05-OCT-16","05-OCT-16",0,66317,201611189037213408,201611189037213408,"18-NOV-16                                                                                                                          "
"43","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"A","18-OCT-16","18-OCT-16","18-OCT-16",0,74531,201611189037213408,201611189037213408,"18-NOV-16                                                                                                                          "
"44","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"A","18-OCT-16","18-OCT-16","18-OCT-16",0,250081,201611189037213408,201611189037213408,"18-NOV-16                                                                                                                         "
"45","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"A","21-OCT-16","21-OCT-16","21-OCT-16",0,200400,201611189037213376,201611189037213376,"18-NOV-16                                                                                                                         "
"46","C30002562","NATION JOSEPH","6500 TRISSINO DRIVE","AUSTIN","TX",78739,"A","16-AUG-16","15-OCT-16","17-AUG-16",3227,3227,201612070300122144,201612070300122144,"12-NOV-16                                                                                                                                                       "
"47","C30001671","THE 60 PLUS ASSOCIATION","515 KING STREET SUITE 515","ALEXANDRIA","VA",22314,"A","27-AUG-10","06-OCT-10","09-SEP-10",239777.07,397838,201611109037139840,201611109037139840,"10-NOV-16                                                                                                                            "
"48","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","05-NOV-16","05-NOV-16","05-NOV-16",0,18750,201611079037128352,201611079037128352,"06-NOV-16                                                                                                                          "
"49","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","05-NOV-16","05-NOV-16","05-NOV-16",0,18750,201611079037128352,201611079037128352,"06-NOV-16                                                                                                                          "
"50","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","03-NOV-16","03-NOV-16","03-NOV-16",0,22000,201611039037111584,201611039037111584,"03-NOV-16                                                                                                                          "
"51","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","03-NOV-16","03-NOV-16","03-NOV-16",0,22000,201611039037110720,201611039037110720,"03-NOV-16                                                                                                                          "
"52","C30002661","WEST VIRGINIANS FOR FAIR COURTS","505 WYNTERHALL LANE","SOUTH CHARLESTON","WV",25309,"N","01-NOV-16","01-NOV-16","01-NOV-16",0,30000,201611049037115104,201611049037115104,"03-NOV-16                                                                                                                             "
"53","C30002745","ONE NATION UNDER GOD FOUNDATION (501C3)","414 N ORLEANS PLAZA #320","CHICAGO","IL",60654,"N","02-NOV-16","07-NOV-16","07-NOV-16",51000,40000,201611040300117376,201611040300117376,"03-NOV-16                                                                                                                     "
"54","C30002745","ONE NATION UNDER GOD FOUNDATION (501C3)","414 N ORLEANS PLAZA #320","CHICAGO","IL",60654,"N","02-NOV-16","07-NOV-16","07-NOV-16",25250,23750,201611040300117376,201611040300117408,"03-NOV-16                                                                                                                     "
"55","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","1201 F STREET NW","WASHINGTON","DC",20004,"N","02-NOV-16","02-NOV-16","02-NOV-16",0,50000,201611029037083616,201611029037083616,"02-NOV-16                                                                                                                                "
"56","C30002711","INTERIOR VOTERS FOR JOHN COGHILL","PO BOX 70681","FAIRBANKS","AK",99707,"N","28-OCT-16","01-NOV-16","01-NOV-16",54500,6250,201611029037018368,201611029037018368,"02-NOV-16                                                                                                                                       "
"57","C30002737","AMALGAMATED TRANSIT UNION","10000 NEW HAMPSHIRE AVE.","SILVER SPRINGS","MD",20903,"N","28-OCT-16","28-OCT-16","28-OCT-16",0,75000,201611039037110592,201611039037110592,"02-NOV-16                                                                                                                                "
"58","C30002737","AMALGAMATED TRANSIT UNION","10000 NEW HAMPSHIRE AVE.","SILVER SPRINGS","MD",20903,"N","02-NOV-16","02-NOV-16","02-NOV-16",0,22000,201611039037110528,201611039037110528,"02-NOV-16                                                                                                                                "
"59","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","1201 F STREET NW","WASHINGTON","DC",20004,"N","24-OCT-16","01-NOV-16","01-NOV-16",0,114000,201611019037017408,201611019037017440,"01-NOV-16                                                                                                                               "
"60","C30002695","CAPE FOX PROFESSIONAL SERVICE AGENCY LLC","1824 ETHAN WAY","SACRAMENTO","CA",95825,"N","26-AUG-16","01-NOV-16","05-OCT-16",0,4.5e+07,201611019037017856,201611019037017856,"01-NOV-16                                                                                                                            "
"61","C30002703","KENTUCKY FAMILY VALUES","PO BOX 701734","LOUISVILLE","KY",40270,"N","31-OCT-16","31-OCT-16","31-OCT-16",0,15678,201611019037017888,201611019037017888,"01-NOV-16                                                                                                                                                  "
"62","C30002729","ONE NATION UNDER GOD (501-C3)","414 N. ORLEANS PLAZA #320","CHICAGO","IL",60654,"N","01-NOV-16","07-NOV-16","27-OCT-16",86500,68400,201611030300117056,201611030300117056,"01-NOV-16                                                                                                                              "
"63","C30002745","ONE NATION UNDER GOD FOUNDATION (501C3)","414 N. ORLEANS PLAZA #320","CHICAGO","IL",60654,"N","01-NOV-16","07-NOV-16","27-OCT-16",86500,68400,201611030300117056,201611030300117056,"01-NOV-16                                                                                                                    "
"64","C30002687","RETAIL ASSOCIATION OF MAINE INC.","45 MELVILLE STREET","AUGUSTA","ME",4330,"N","","","31-OCT-16",0,25325,201610319037012704,201610319037012704,"31-OCT-16                                                                                                                                                        "
"65","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","29-OCT-16","29-OCT-16","29-OCT-16",0,495884,201610319037011360,201610319037011360,"30-OCT-16                                                                                                                         "
"66","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","29-OCT-16","29-OCT-16","29-OCT-16",0,444636,201610319037011360,201610319037011360,"30-OCT-16                                                                                                                         "
"67","C30002653","MAINSTREAM VOTERS OF WA","119 1ST AVENUE S  S320","SEATTLE","WA",98104,"N","29-OCT-16","30-OCT-16","29-OCT-16",0,17721,201610319037011360,201610319037011360,"30-OCT-16                                                                                                                                           "
"68","C30002448","COMMITTEE FOR ACCOUNTABLE GOVERNMENT IN MISSOURI","7509 NW TIFFANY SPRINGS PARKWAY","KANSAS CITY","MO",64153,"N","25-OCT-16","27-OCT-16","27-OCT-16",2500000,453540,201610289037003488,201610289037003488,"28-OCT-16                                                                                              "
"69","C30002588","COMMON SENSE VALUES IE COMMITTEE","PO BOX 372128","DENVER","CO",80237,"N","27-OCT-16","08-NOV-16","27-OCT-16",7995.71,7996,201610319037011232,201610319037011264,"28-OCT-16                                                                                                                                       "
"70","C30002679","45COMMITTEE INC.","P.O. BOX 710993","HERNDON","VA",20171,"N","27-OCT-16","22-NOV-16","27-OCT-16",0,671320,201610319037011392,201610319037011392,"28-OCT-16                                                                                                                                                        "
"71","C30002661","WEST VIRGINIANS FOR FAIR COURTS","505 WYNTERHALL LANE","SOUTH CHARLESTON","WV",25309,"N","24-OCT-16","25-OCT-16","25-OCT-16",0,80000,201610279034726624,201610279034726624,"27-OCT-16                                                                                                                             "
"72","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","25-OCT-16","25-OCT-16","25-OCT-16",0,18617,201610269034594528,201610269034594528,"26-OCT-16                                                                                                                          "
"73","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","1201 F STREET NW","WASHINGTON","DC",20004,"N","21-OCT-16","25-OCT-16","24-OCT-16",0,89500,201610259034560800,201610259034560800,"25-OCT-16                                                                                                                                "
"74","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","25-OCT-16","25-OCT-16","25-OCT-16",0,943360,201610259034561088,201610259034561088,"25-OCT-16                                                                                                                         "
"75","C30002653","MAINSTREAM VOTERS OF WA","119 1ST AVENUE S  S320","SEATTLE","WA",98104,"N","24-OCT-16","24-OCT-16","24-OCT-16",0,5972,201610269034599104,201610269034599104,"25-OCT-16                                                                                                                                            "
"76","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","1201 F STREET NW","WASHINGTON","DC",20004,"N","21-OCT-16","21-OCT-16","21-OCT-16",0,1e+05,201610219034503488,201610219034503488,"21-OCT-16                                                                                                                               "
"77","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","21-OCT-16","21-OCT-16","21-OCT-16",0,200400,201610219034503616,201610219034503616,"21-OCT-16                                                                                                                         "
"78","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","21-OCT-16","21-OCT-16","21-OCT-16",0,36000,201610219034504384,201610219034504384,"21-OCT-16                                                                                                                          "
"79","C30002646","LYNG TIMOTHY JOSEPH","12227 GLADEWICK DRIVE","HOUSTON","TX",77077,"N","21-OCT-16","20-OCT-17","",1,0,201610249034533792,201610249034533792,"21-OCT-16                                                                                                                                                             "
"80","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","1201 F STREET NW","WASHINGTON","DC",20004,"N","19-OCT-16","20-OCT-16","20-OCT-16",0,32500,201610209034118432,201610209034118432,"20-OCT-16                                                                                                                                "
"81","C30002588","COMMON SENSE VALUES IE COMMITTEE","PO BOX 372128","DENVER","CO",80237,"N","18-OCT-16","26-OCT-16","18-OCT-16",4836,4836,201610209033079392,201610209033079392,"20-OCT-16                                                                                                                                          "
"82","C30002612","NEW DIRECTION PAC","3518 FREMONT AVENUE N","SEATTLE","WA",98103,"N","20-OCT-16","21-OCT-16","19-OCT-16",0,160967,201610219034500448,201610219034500448,"20-OCT-16                                                                                                                                                 "
"83","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","1201 F STREET NW","WASHINGTON","DC",20004,"N","17-OCT-16","18-OCT-16","18-OCT-16",0,46500,201610189033029024,201610189033029024,"18-OCT-16                                                                                                                                "
"84","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","18-OCT-16","18-OCT-16","18-OCT-16",0,250081,201610189033028832,201610189033028832,"18-OCT-16                                                                                                                         "
"85","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","18-OCT-16","18-OCT-16","18-OCT-16",0,74531,201610189033028032,201610189033028032,"18-OCT-16                                                                                                                          "
"86","C30002562","NATION JOSEPH","6500 TRISSINO DRIVE","AUSTIN","TX",78739,"N","16-AUG-16","15-OCT-16","17-AUG-16",3227,3227,201610170300107744,201610170300107776,"17-OCT-16                                                                                                                                                       "
"87","C30002620","PATRIOT MAJORITY USA","P.O. BOX 35522","WASHINGTON","DC",20033,"N","15-OCT-16","15-OCT-16","15-OCT-16",0,32280,201610169032881344,201610169032881344,"16-OCT-16                                                                                                                                                   "
"88","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","1201 F STREET NW","WASHINGTON","DC",20004,"N","12-OCT-16","12-OCT-16","12-OCT-16",0,9000,201610139032408352,201610139032408352,"13-OCT-16                                                                                                                                 "
"89","C30002083","REPUBLICAN STATE LEADERSHIP COMMITTEE - WASHINGTON PAC","1201 F STREET NW","WASHINGTON","DC",20004,"N","11-OCT-16","12-OCT-16","12-OCT-16",57528.54,57529,201610139032425376,201610139032425408,"13-OCT-16                                                                                                        "
"90","C30002588","COMMON SENSE VALUES IE COMMITTEE","PO BOX 372128","DENVER","CO",80237,"N","12-OCT-16","17-OCT-16","12-OCT-16",4836,4836,201610140300104992,201610140300104992,"13-OCT-16                                                                                                                                          "
"91","C30002596","CAROLINIANS FOR FREEDOM","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","11-OCT-16","11-OCT-16","11-OCT-16",0,734342,201610119032236960,201610119032236960,"11-OCT-16                                                                                                                                  "
"92","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","1201 F STREET NW","WASHINGTON","DC",20004,"N","07-OCT-16","10-OCT-16","10-OCT-16",0,30000,201610109032222176,201610109032222176,"10-OCT-16                                                                                                                                "
"93","C30002513","DAVIS MARIE","GENERAL DELIVERY","SACRAMENTO","CA",95825,"N","01-SEP-60","07-OCT-16","01-SEP-60",0,5e+06,201610119032230496,201610119032230496,"10-OCT-16                                                                                                                                                        "
"94","C30002612","NEW DIRECTION PAC","3518 FREMONT AVENUE N","SEATTLE","WA",98103,"N","07-OCT-16","07-OCT-16","07-OCT-16",4e+05,43749,201610119032230400,201610119032230400,"08-OCT-16                                                                                                                                             "
"95","C30002430","AMERICAN CHEMISTRY COUNCIL INC","700 2ND STREET NE","WASHINGTON","DC",20002,"N","06-OCT-16","06-OCT-16","06-OCT-16",0,566512,201610079032195200,201610079032195232,"07-OCT-16                                                                                                                                     "
"96","C30002430","AMERICAN CHEMISTRY COUNCIL INC","700 2ND STREET NE","WASHINGTON","DC",20002,"N","06-OCT-16","06-OCT-16","06-OCT-16",0,332700,201610079032195232,201610079032195232,"07-OCT-16                                                                                                                                     "
"97","C30002430","AMERICAN CHEMISTRY COUNCIL INC","700 2ND STREET NE","WASHINGTON","DC",20002,"N","06-OCT-16","06-OCT-16","06-OCT-16",0,101500,201610079032195232,201610079032195232,"07-OCT-16                                                                                                                                     "
"98","C30002430","AMERICAN CHEMISTRY COUNCIL INC","700 2ND STREET NE","WASHINGTON","DC",20002,"A","06-OCT-16","06-OCT-16","06-OCT-16",0,380904,201610079032195232,201610079032195232,"07-OCT-16                                                                                                                                     "
"99","C30002430","AMERICAN CHEMISTRY COUNCIL INC","700 2ND STREET NE","WASHINGTON","DC",20002,"N","06-OCT-16","06-OCT-16","06-JUL-16",0,380904,201610079032195168,201610079032195168,"07-OCT-16                                                                                                                                     "
"100","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","05-OCT-16","05-OCT-16","05-OCT-16",0,66317,201610059032170176,201610059032170176,"05-OCT-16                                                                                                                          "
"101","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","05-OCT-16","05-OCT-16","05-OCT-16",0,694593,201610059032170048,201610059032170048,"05-OCT-16                                                                                                                         "
"102","C30002596","CAROLINIANS FOR FREEDOM","1747 PENNSYLVANIA AVENUE NW","WASHINGTON","DC",20006,"N","04-OCT-16","04-OCT-16","04-OCT-16",0,678122,201610049032164704,201610049032164704,"04-OCT-16                                                                                                                                  "
"103","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","1201 F STREET NW","WASHINGTON","DC",20004,"N","30-SEP-16","03-OCT-16","03-OCT-16",0,55000,201610039032153472,201610039032153472,"03-OCT-16                                                                                                                                "
"104","C30002588","COMMON SENSE VALUES IE COMMITTEE","PO BOX 372128","DENVER","CO",80237,"N","10-SEP-16","19-SEP-16","10-SEP-16",6087,6087,201609129030769216,201609129030769216,"11-SEP-16                                                                                                                                          "
"105","C30002570","NEW YORK HOTEL AND MOTEL TRADES COUNCIL AFL-CIO","707 EIGHTH AVENUE","NEW YORK","NY",10036,"N","15-AUG-16","09-SEP-16","09-SEP-16",0,34575,201609129030769216,201609129030769216,"10-SEP-16                                                                                                                       "
"106","C30002562","NATION JOSEPH","6500 TRISSINO DRIVE","AUSTIN ","TX",78739,"A","16-AUG-16","17-AUG-16","17-AUG-16",NA,NA,201608220300095904,201608220300095904,"22-AUG-16                                                                                                                                                              "
"107","C30002562","NATION JOSEPH","6500 TRISSINO DRIVE","AUSTIN","TX",78739,"N","16-AUG-16","17-AUG-16","17-AUG-16",1227,1227,201608189022513632,201608189022513632,"17-AUG-16                                                                                                                                                       "
"108","C30002547","HARRY FOX AGENCY MARIE ELIZABETH","1131 BELL ST","SACRAMENTO","CA",95825,"N","14-JUL-16","12-AUG-16","12-AUG-16",0,321,201608159022250240,201608159022250240,"13-AUG-16                                                                                                                                           "
"109","C30002554","INTERNAL REVENUE SERVICE MARIE ELIZABETH","1301 CLAY ST","OAKLAND","CA",94612,"N","10-AUG-16","13-AUG-16","13-AUG-16",0,69000,201608159022250336,201608159022250336,"13-AUG-16                                                                                                                                    "
"110","C30002513","DAVIS MARIE","248 MAMMOTH SLOPES WAY","MAMMOTH LAKE","CA",93846,"N","08-AUG-16","09-AUG-16","08-AUG-16",0,1e+08,201608089022182112,201608089022182112,"07-AUG-16                                                                                                                                              "
