"","Link_Image","Committee_Name","Committee_Id","Date_Filed","Is_Lobbyist"
"12","http://docquery.fec.gov/cgi-bin/fecimg/?_201808219121508320+0","UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB","C00002766","21-AUG-18","Y"
"13","http://docquery.fec.gov/cgi-bin/fecimg/?_201808209121385225+0","GOOGLE LLC NETPAC","C00428623","20-AUG-18","Y"
"14","http://docquery.fec.gov/cgi-bin/fecimg/?_201808209121462150+0","MAXAR TECHNOLOGIES HOLDINGS INC. PAC (MAXARPAC)","C00370585","20-AUG-18","Y"
"15","http://docquery.fec.gov/cgi-bin/fecimg/?_201808209120015717+0","TEVA PHARMACEUTICALS USA INC. POLITICAL ACTION COMMITTEE (TEVA PAC)","C00434811","20-AUG-18","Y"
"16","http://docquery.fec.gov/cgi-bin/fecimg/?_201808169119644609+0","AECOM PAC","C00374447","16-AUG-18","Y"
"17","http://docquery.fec.gov/cgi-bin/fecimg/?_201808169119647287+0","FACEBOOK INC. PAC","C00502906","16-AUG-18","Y"
"18","http://docquery.fec.gov/cgi-bin/fecimg/?_201808159119641525+0","QUALCOMM INCORPORATED POLITICAL ACTION COMMITTEE (QPAC)","C00339085","15-AUG-18","Y"
"19","http://docquery.fec.gov/cgi-bin/fecimg/?_201808139119609957+0","BANK OF AMERICA CORPORATION FEDERAL PAC","C00364778","13-AUG-18","Y"
"20","http://docquery.fec.gov/cgi-bin/fecimg/?_201808139119609950+0","BANK OF AMERICA CORPORATION STATE AND FEDERAL PAC","C00043489","13-AUG-18","Y"
"21","http://docquery.fec.gov/cgi-bin/fecimg/?_201808109119391393+0","CAMBIA HEALTH SOLUTIONS INC. PAC","C00252684","10-AUG-18",""
"22","http://docquery.fec.gov/cgi-bin/fecimg/?_201808089119378472+0","SOLVAY AMERICA, INC. EMPLOYEE POLITICAL FUND (SOLVAY AMERICA PAC)","C00520254","08-AUG-18","Y"
"23","http://docquery.fec.gov/cgi-bin/fecimg/?_201808079119374294+0","ANTHEM, INC. POLITICAL ACTION COMMITTEE (ANTHEM PAC)","C00197228","07-AUG-18","Y"
"24","http://docquery.fec.gov/cgi-bin/fecimg/?_201808079119376405+0","COMPUTING TECHNOLOGY INDUSTRY ASSOCIATION PAC (COMPTIA PAC)","C00436287","07-AUG-18","Y"
"25","http://docquery.fec.gov/cgi-bin/fecimg/?_201808079119374283+0","THE HOSPITAL AND HEALTHSYSTEM ASSOCIATION OF PENNSYLVANIA- FEDERAL POLITICAL ACTION COMMITTEE (HAPAC-FEDERAL)","C00128082","07-AUG-18","Y"
"26","http://docquery.fec.gov/cgi-bin/fecimg/?_201808079119373401+0","WASHINGTON GAS LIGHT COMPANY PAC","C00102152","07-AUG-18","Y"
"27","http://docquery.fec.gov/cgi-bin/fecimg/?_201808069119372632+0","NATIONAL SHOOTING SPORTS FOUNDATION, INC. POLITICAL ACTION COMMITTEE (NSSF PAC)","C00480863","06-AUG-18","Y"
"28","http://docquery.fec.gov/cgi-bin/fecimg/?_201808069119370829+0","THE OPTIONS CLEARING CORPORATION PAC","C00255877","06-AUG-18","Y"
"29","http://docquery.fec.gov/cgi-bin/fecimg/?_201808039119349261+0","UNITED SERVICES AUTOMOBILE ASSOCIATION EMPLOYEE PAC - USAA EMPLOYEE PAC","C00164145","03-AUG-18","Y"
"30","http://docquery.fec.gov/cgi-bin/fecimg/?_201808029119345089+0","DRINKER BIDDLE POLITICAL ACTION COMMITTEE","C00370759","02-AUG-18","Y"
"31","http://docquery.fec.gov/cgi-bin/fecimg/?_201808029119343622+0","HEARPAC OF HEARING INDUSTRIES ASSOCIATION","C00437798","02-AUG-18","Y"
"32","http://docquery.fec.gov/cgi-bin/fecimg/?_201808029119342170+0","STEPTOE AND JOHNSON LLP POLITICAL ACTION COMMITTEE","C00431858","02-AUG-18","Y"
"33","http://docquery.fec.gov/cgi-bin/fecimg/?_201808019119337481+0","HMS HOLDINGS CORP. POLITICAL ACTION COMMITTEE (HMS PAC)","C00440453","01-AUG-18","Y"
"34","http://docquery.fec.gov/cgi-bin/fecimg/?_201808019119339063+0","PAR PACIFIC HOLDINGS INC PAC","C00637322","01-AUG-18","Y"
"35","http://docquery.fec.gov/cgi-bin/fecimg/?_201808019119339122+0","TEXAS INSTRUMENTS INCORPORATED POLITICAL ACTION COMMITTEE (TI PAC)","C00007070","01-AUG-18","Y"
"36","http://docquery.fec.gov/cgi-bin/fecimg/?_201807319119337056+0","ALASKA AIR GROUP INC. POLITICAL ACTION COMMITTEE","C00024349","31-JUL-18","Y"
"37","http://docquery.fec.gov/cgi-bin/fecimg/?_201807319119336540+0","NATIONAL COMMUNITY PHARMACISTS ASSOCIATION - PAC","C00030809","31-JUL-18","Y"
"38","http://docquery.fec.gov/cgi-bin/fecimg/?_201807319119336582+0","PAR PACIFIC HOLDINGS INC PAC","C00637322","31-JUL-18","Y"
"39","http://docquery.fec.gov/cgi-bin/fecimg/?_201807309119332837+0","MOLINA HEALTHCARE, INC. PAC","C00430256","30-JUL-18","Y"
"40","http://docquery.fec.gov/cgi-bin/fecimg/?_201807279119326042+0","INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS POLITICAL ACTION LEAGUE","C00007542","27-JUL-18","Y"
"41","http://docquery.fec.gov/cgi-bin/fecimg/?_201807279119327373+0","THE TIMKEN COMPANY GOOD GOVERNMENT FUND","C00311308","27-JUL-18","Y"
"42","http://docquery.fec.gov/cgi-bin/fecimg/?_201807269119319700+0","SOLARCITY FUND HOLDINGS LLC POLITICAL ACTION COMMITTEE (SOLARCITY PAC)","C00520569","26-JUL-18","Y"
"43","http://docquery.fec.gov/cgi-bin/fecimg/?_201807259119315750+0","NEX GROUP INVESTMENTS, INC. POLITICAL ACTION COMMITTEE (NEX GROUP PAC)","C00555979","25-JUL-18","Y"
"44","http://docquery.fec.gov/cgi-bin/fecimg/?_201807239119265542+0","KEURIG DR PEPPER INC. PAC","C00484451","23-JUL-18","Y"
"45","http://docquery.fec.gov/cgi-bin/fecimg/?_201807239119286018+0","SOLAR ENERGY INDUSTRIES ASSOCIATION PAC (SOLARPAC)","C00421982","23-JUL-18","Y"
"46","http://docquery.fec.gov/cgi-bin/fecimg/?_201807209115799924+0","FIFTH THIRD BANCORP POLITICAL ACTION COMMITTEE","C00290502","20-JUL-18","Y"
"47","http://docquery.fec.gov/cgi-bin/fecimg/?_201807209116047609+0","THE WILLIAMS COMPANIES, INC. POLITICAL ACTION COMMITTEE","C00040394","20-JUL-18","Y"
"48","http://docquery.fec.gov/cgi-bin/fecimg/?_201807199115776230+0","NOMURA HOLDING AMERICA INC. POLITICAL ACTION COMMITTEE (NOMURAPAC)","C00491951","19-JUL-18",""
"49","http://docquery.fec.gov/cgi-bin/fecimg/?_201807189115767692+0","INVESCO HOLDING COMPANY (US), INC. POLITICAL ACTION COMMITTEE","C00253369","18-JUL-18","Y"
"50","http://docquery.fec.gov/cgi-bin/fecimg/?_201807179115745163+0","THE AMERICAN ELECTRIC POWER COMMITTEE FOR RESPONSIBLE GOVERNMENT","C00096842","17-JUL-18","Y"
"51","http://docquery.fec.gov/cgi-bin/fecimg/?_201807179115744288+0","TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)","C00542365","17-JUL-18","Y"
"52","http://docquery.fec.gov/cgi-bin/fecimg/?_201807169115715490+0","COBHAM HOLDINGS INC. POLITICAL ACTION COMMITTEE 'COBHAM PAC'","C00457051","16-JUL-18","Y"
"53","http://docquery.fec.gov/cgi-bin/fecimg/?_201807169115723859+0","POWERS, PYLES, SUTTER & VERVILLE PC PAC","C00302687","16-JUL-18","Y"
"54","http://docquery.fec.gov/cgi-bin/fecimg/?_201807169115715486+0","VISA, INC. POLITICAL ACTION COMMITTEE","C00365122","16-JUL-18","Y"
"55","http://docquery.fec.gov/cgi-bin/fecimg/?_201807159115566928+0","ORBITAL ATK INC. POLITICAL ACTION COMMITTEE","C00250209","15-JUL-18","Y"
"56","http://docquery.fec.gov/cgi-bin/fecimg/?_201807159115641139+0","PACIFIC PULMONARY SERVICES POLITICAL ACTION COMMITTEE","C00403998","15-JUL-18","Y"
"57","http://docquery.fec.gov/cgi-bin/fecimg/?_201807139115415330+0","AMERICAN MULTI-CINEMA, INC. THEATRES (AMC THEATRES) POLITICAL ACTION COMMITTEE","C00653014","13-JUL-18","Y"
"58","http://docquery.fec.gov/cgi-bin/fecimg/?_201807139115401987+0","COTIVITI CORPORATION POLITICAL ACTION COMMITTEE (COTIVITI PAC)","C00568584","13-JUL-18","Y"
"59","http://docquery.fec.gov/cgi-bin/fecimg/?_201807139115421845+0","FRIENDS OF MEDICAL RESEARCH POLITICAL ACTION COMMITTEE","C00566042","13-JUL-18","Y"
"60","http://docquery.fec.gov/cgi-bin/fecimg/?_201807139115403937+0","THE HARTFORD FINANCIAL SERVICES GROUP, INC. FEDERAL PAC (AKA HARTFORD ADVOCATES FEDERAL FUND)","C00511444","13-JUL-18","Y"
"61","http://docquery.fec.gov/cgi-bin/fecimg/?_201807139115404072+0","THE HARTFORD FINANCIAL SERVICES GROUP, INC. PAC (AKA THE HARTFORD ADVOCATES FUND)","C00168864","13-JUL-18","Y"
"62","http://docquery.fec.gov/cgi-bin/fecimg/?_201807139115415546+0","NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE ('NEMA PAC')","C00331173","13-JUL-18","Y"
"63","http://docquery.fec.gov/cgi-bin/fecimg/?_201807139115413089+0","SOLARCITY FUND HOLDINGS LLC POLITICAL ACTION COMMITTEE (SOLARCITY PAC)","C00520569","13-JUL-18","Y"
"64","http://docquery.fec.gov/cgi-bin/fecimg/?_201807139115410886+0","TAKEDA PHARMACEUTICALS AMERICA INC. POLITICAL ACTION COMMITTEE","C00441733","13-JUL-18","Y"
"65","http://docquery.fec.gov/cgi-bin/fecimg/?_201807129115373105+0","COMMITTEE FOR GOOD GOVERNMENT INTERNATIONAL UNION UAW","C00002832","12-JUL-18","Y"
"66","http://docquery.fec.gov/cgi-bin/fecimg/?_201807129115372978+0","INDIANA ACRE/INDIANA STATEWIDE ASSN OF RECS INC -DBA INDIANA ELECTRIC COOPS","C00103978","12-JUL-18","Y"
"67","http://docquery.fec.gov/cgi-bin/fecimg/?_201807129115385426+0","LABORATORY CORPORATION OF AMERICA HOLDINGS POLITICAL PARTICIPATION COMMITTEE","C00314997","12-JUL-18","Y"
"68","http://docquery.fec.gov/cgi-bin/fecimg/?_201807129115376828+0","UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM)","C00002840","12-JUL-18","Y"
"69","http://docquery.fec.gov/cgi-bin/fecimg/?_201807119115303282+0","BI-COUNTY POLITICAL ACTION COMMITTEE","C00204388","11-JUL-18","Y"
"70","http://docquery.fec.gov/cgi-bin/fecimg/?_201807119115306512+0","NATIONAL PECAN FEDERATION INC. POLITICAL ACTION COMMITTEE (PECAN PAC)","C00682617","11-JUL-18","Y"
"71","http://docquery.fec.gov/cgi-bin/fecimg/?_201807119115304551+0","THE OPTIONS CLEARING CORPORATION PAC","C00255877","11-JUL-18","Y"
"72","http://docquery.fec.gov/cgi-bin/fecimg/?_201807119115307027+0","THE PHOENIX COMPANIES, INC. - PAC FEDERAL","C00168203","11-JUL-18","Y"
"73","http://docquery.fec.gov/cgi-bin/fecimg/?_201807119115305281+0","PURDUE PHARMA INC. POLITICAL ACTION COMMITTEE (PURDUE PAC)","C00370643","11-JUL-18","Y"
"74","http://docquery.fec.gov/cgi-bin/fecimg/?_201807119115316506+0","SINCLAIR BROADCAST GROUP PAC","C00562660","11-JUL-18","Y"
"75","http://docquery.fec.gov/cgi-bin/fecimg/?_201807109115293400+0","AMERICAN CHIROPRACTIC ASSOCIATION POLITICAL ACTION COMMITTEE","C00102764","10-JUL-18","Y"
"76","http://docquery.fec.gov/cgi-bin/fecimg/?_201807109115290003+0","AMERICAN NURSES ASSOCIATION PAC","C00017525","10-JUL-18","Y"
"77","http://docquery.fec.gov/cgi-bin/fecimg/?_201807109115292076+0","ERISA INDUSTRY COMMITTEE POLITICAL ACTION COMMITTEE; THE (ERIC PAC)","C00415505","10-JUL-18","Y"
"78","http://docquery.fec.gov/cgi-bin/fecimg/?_201807109115264563+0","GEORGIA POWER COMPANY FEDERAL PAC","C00119776","10-JUL-18","Y"
"79","http://docquery.fec.gov/cgi-bin/fecimg/?_201807109115264642+0","UNITED TRANSPORTATION UNION POLITICAL ACTION COMMITTEE (UTU PAC)","C00001636","10-JUL-18","Y"
"80","http://docquery.fec.gov/cgi-bin/fecimg/?_201807069115241138+0","BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE","C00479246","06-JUL-18","Y"
"81","http://docquery.fec.gov/cgi-bin/fecimg/?_201807069115241185+0","MAGELLAN HEALTH, INC. EMPLOYEE COMMITTEE FOR GOOD GOVERNMENT","C00247262","06-JUL-18","Y"
"82","http://docquery.fec.gov/cgi-bin/fecimg/?_201807069115244454+0","TRAVELPORT INC. PAC","C00425603","06-JUL-18","Y"
"83","http://docquery.fec.gov/cgi-bin/fecimg/?_201807069115241006+0","ZURICH HOLDING COMPANY OF AMERICA COMMITTEE FOR GOOD GOVERNMENT (Z-PAC)","C00235036","06-JUL-18","Y"
"84","http://docquery.fec.gov/cgi-bin/fecimg/?_201807059115222895+0","BANK POLICY INSTITUTE PAC","C00193177","05-JUL-18","Y"
"85","http://docquery.fec.gov/cgi-bin/fecimg/?_201807039115211951+0","ARGENTUM'S SILVER PAC","C00338020","03-JUL-18","Y"
"86","http://docquery.fec.gov/cgi-bin/fecimg/?_201807039115212048+0","CVS HEALTH PAC","C00384818","03-JUL-18","Y"
"87","http://docquery.fec.gov/cgi-bin/fecimg/?_201807029115203278+0","APTIM CORP. POLITICAL ACTION COMMITTEE (AKA APTIM PAC)","C00652826","02-JUL-18","Y"
"88","http://docquery.fec.gov/cgi-bin/fecimg/?_201807029115209248+0","CNA FINANCIAL CORPORATION CITIZENS FOR GOOD GOVERNMENT","C00078287","02-JUL-18","Y"
"89","http://docquery.fec.gov/cgi-bin/fecimg/?_201807029115202545+0","PERSPECTA INC. POLITICAL ACTION COMMITTEE (A.K.A. 'PERSPECTA PAC')","C00383992","02-JUL-18","Y"
"90","http://docquery.fec.gov/cgi-bin/fecimg/?_201807029115204697+0","PRINCIPAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE","C00128918","02-JUL-18","Y"
"91","http://docquery.fec.gov/cgi-bin/fecimg/?_201806299115199984+0","ASH GROVE CEMENT POLITICAL ACTION COMMITTEE","C00102517","29-JUN-18","Y"
"92","http://docquery.fec.gov/cgi-bin/fecimg/?_201806289115199050+0","ASIAN AMERICAN ACTION FUND","C00351031","28-JUN-18","Y"
"93","http://docquery.fec.gov/cgi-bin/fecimg/?_201806289115197533+0","CRH AMERICAS, INC. PAC","C00346353","28-JUN-18","Y"
"94","http://docquery.fec.gov/cgi-bin/fecimg/?_201806279115193875+0","AT&T INC. FEDERAL POLITICAL ACTION COMMITTEE (AT&T FEDERAL PAC)","C00109017","27-JUN-18","Y"
"95","http://docquery.fec.gov/cgi-bin/fecimg/?_201806279115193868+0","AT&T INC. OHIO EMPLOYEE POLITICAL ACTION COMMITTEE","C00377044","27-JUN-18","Y"
"96","http://docquery.fec.gov/cgi-bin/fecimg/?_201806269115171642+0","AMERICAN SUBCONTRACTORS ASSOCIATION, INC., POLITICAL ACTION COMMITTEE AKA ASA-PAC","C00359463","26-JUN-18","Y"
"97","http://docquery.fec.gov/cgi-bin/fecimg/?_201806269115171646+0","DELOITTE POLITICAL ACTION COMMITTEE","C00211318","26-JUN-18","Y"
"98","http://docquery.fec.gov/cgi-bin/fecimg/?_201806269115171665+0","PIEDMONT STONE CENTER PLLC POLITICAL ACTION COMMITTEE","C00387696","26-JUN-18",""
"99","http://docquery.fec.gov/cgi-bin/fecimg/?_201806269115171872+0","RESPONSIBLE FEDERAL GOVERNMENT COMMITTEE OF GULF POWER COMPANY EMPLOYEES, INC.","C00610782","26-JUN-18","Y"
"100","http://docquery.fec.gov/cgi-bin/fecimg/?_201806259115168527+0","DELOITTE POLITICAL ACTION COMMITTEE","C00211318","25-JUN-18","Y"
"101","http://docquery.fec.gov/cgi-bin/fecimg/?_201806259115167907+0","SALTCHUK RESOURCES, INC. PAC","C00411694","25-JUN-18","Y"
"102","http://docquery.fec.gov/cgi-bin/fecimg/?_201806229115166421+0","HSBC NORTH AMERICA FEDERAL POLITICAL ACTION COMMITTEE (HSBC FEDERAL PAC)","C00681437","22-JUN-18","Y"
"103","http://docquery.fec.gov/cgi-bin/fecimg/?_201806229115166170+0","TECHNOLOGY NETWORK (TECHNET) FEDERAL PAC","C00328369","22-JUN-18","Y"
"104","http://docquery.fec.gov/cgi-bin/fecimg/?_201806229115166140+0","WARNER MEDIA, LLC PAC (WARNERMEDIA PAC)","C00339291","22-JUN-18","Y"
"105","http://docquery.fec.gov/cgi-bin/fecimg/?_201806220300214989+0","BROADCOM INC POLITICAL ACTION COMMITTEE (BROADCOM PAC)","C00680504","21-JUN-18","Y"
"106","http://docquery.fec.gov/cgi-bin/fecimg/?_201806219115161211+0","FOREST CITY REALTY TRUST, INC. UNITED FOR A SENSIBLE GOVERNMENT (FOCUS)","C00123513","21-JUN-18","Y"
"107","http://docquery.fec.gov/cgi-bin/fecimg/?_201806219115161255+0","MARIJUANA POLICY PROJECT PAC","C00389882","21-JUN-18","Y"
"108","http://docquery.fec.gov/cgi-bin/fecimg/?_201806219115161205+0","SPACE EXPLORATION TECHNOLOGIES CORP. PAC","C00411116","21-JUN-18","Y"
"109","http://docquery.fec.gov/cgi-bin/fecimg/?_201806219115161492+0","UGI CORPORATION POLITICAL ACTION COMMITTEE(UGI/PAC)","C00139667","21-JUN-18","Y"
"110","http://docquery.fec.gov/cgi-bin/fecimg/?_201806209113916554+0","AMERICAN CONSERVATIVE UNION","C00130658","20-JUN-18","Y"
"111","http://docquery.fec.gov/cgi-bin/fecimg/?_201806209113773962+0","AMERICAN SOCIETY OF HEALTH SYSTEM PHARMACIST - PAC","C00245530","20-JUN-18","Y"
"112","http://docquery.fec.gov/cgi-bin/fecimg/?_201806209113762765+0","AT&T INC. FEDERAL POLITICAL ACTION COMMITTEE (AT&T FEDERAL PAC)","C00109017","20-JUN-18","Y"
"113","http://docquery.fec.gov/cgi-bin/fecimg/?_201806209113762758+0","AT&T INC. OHIO EMPLOYEE POLITICAL ACTION COMMITTEE","C00377044","20-JUN-18","Y"
"114","http://docquery.fec.gov/cgi-bin/fecimg/?_201806209113784369+0","BOSTON SCIENTIFIC CORPORATION POLITICAL ACTION COMMITTEE (BSC PAC)","C00357863","20-JUN-18","Y"
"115","http://docquery.fec.gov/cgi-bin/fecimg/?_201806209113922401+0","CULAC THE PAC OF CREDIT UNION NATIONAL ASSOCIATION","C00007880","20-JUN-18","Y"
"116","http://docquery.fec.gov/cgi-bin/fecimg/?_201806209113908498+0","EDGE DAIRY FARMER COOPERATIVE PAC (EDGE PAC)","C00681338","20-JUN-18","Y"
"117","http://docquery.fec.gov/cgi-bin/fecimg/?_201806209113931003+0","ELEKTA HOLDINGS US, INC. POLITICAL ACTION COMMITTEE ('ELEKTAPAC')","C00570895","20-JUN-18","Y"
"118","http://docquery.fec.gov/cgi-bin/fecimg/?_201806209113786836+0","FACEBOOK INC. PAC","C00502906","20-JUN-18","Y"
"119","http://docquery.fec.gov/cgi-bin/fecimg/?_201806209114119586+0","HSBC NORTH AMERICA FEDERAL, STATE AND LOCAL POLITICAL ACTION COMMITTEE (HSBC COMBINED PAC)","C00033423","20-JUN-18","Y"
"120","http://docquery.fec.gov/cgi-bin/fecimg/?_201806200300214784+0","ORGANIC TRADE ASSOCIATION PAC (ORGANIC PAC)","C00492132","20-JUN-18","Y"
"121","http://docquery.fec.gov/cgi-bin/fecimg/?_201806209113910951+0","RISK AND INSURANCE MANAGEMENT SOCIETY, INC. PAC","C00494005","20-JUN-18",""
"122","http://docquery.fec.gov/cgi-bin/fecimg/?_201806199113743329+0","EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC","C00088591","19-JUN-18","Y"
"123","http://docquery.fec.gov/cgi-bin/fecimg/?_201806199113746927+0","FMC CORPORATION GOOD GOVERNMENT PROGRAM","C00033704","19-JUN-18","Y"
"124","http://docquery.fec.gov/cgi-bin/fecimg/?_201806199113742691+0","ORBITAL ATK INC. POLITICAL ACTION COMMITTEE","C00250209","19-JUN-18","Y"
"125","http://docquery.fec.gov/cgi-bin/fecimg/?_201806199113752227+0","WILLIAMS AND JENSEN, PLLC POLITICAL ACTION COMMITTEE","C00039206","19-JUN-18","Y"
"126","http://docquery.fec.gov/cgi-bin/fecimg/?_201806189113736525+0","BWX TECHNOLOGIES, INC POLITICAL ACTION COMMITTEE","C00365502","18-JUN-18","Y"
"127","http://docquery.fec.gov/cgi-bin/fecimg/?_201806189113738923+0","MASTERCARD INTERNATIONAL INC. EMPLOYEES' PAC","C00410274","18-JUN-18","Y"
"128","http://docquery.fec.gov/cgi-bin/fecimg/?_201806189113731696+0","RIO TINTO AMERICA INC. PAC","C00243675","18-JUN-18","Y"
"129","http://docquery.fec.gov/cgi-bin/fecimg/?_201806159113704223+0","BAYER U.S. LLC POLITICAL ACTION COMMITTEE","C00281162","15-JUN-18","Y"
"130","http://docquery.fec.gov/cgi-bin/fecimg/?_201806159113705577+0","MEDICAL PROFESSIONAL LIABILITY ASSOCIATION POLITICAL ACTION COMMITTEE (MPL PAC)","C00319319","15-JUN-18","Y"
"131","http://docquery.fec.gov/cgi-bin/fecimg/?_201806159113704292+0","MONSANTO COMPANY CITIZENSHIP FUND AKA MONSANTO CITIZENSHIP FUND","C00042069","15-JUN-18","Y"
"132","http://docquery.fec.gov/cgi-bin/fecimg/?_201806149113686508+0","EMBLEMHEALTH SERVICES COMPANY LLC FEDERAL PAC (AKA EMBLEMHEALTH PAC)","C00412247","14-JUN-18","Y"
"133","http://docquery.fec.gov/cgi-bin/fecimg/?_201806149113682315+0","EVERGY EMPLOYEE POWERPAC","C00111310","14-JUN-18","Y"
"134","http://docquery.fec.gov/cgi-bin/fecimg/?_201806119113657536+0","NATIONAL SOCIETY OF PROFESSIONAL ENGINEERS POLITICAL ACTION COMMITTEE (NSPE-PAC)","C00090415","11-JUN-18","Y"
"135","http://docquery.fec.gov/cgi-bin/fecimg/?_201806089113654637+0","HUMANA INC. POLITICAL ACTION COMMITTEE","C00271007","08-JUN-18","Y"
"136","http://docquery.fec.gov/cgi-bin/fecimg/?_201806079113652003+0","ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","07-JUN-18","Y"
"137","http://docquery.fec.gov/cgi-bin/fecimg/?_201806080300213716+0","BROADCOM INC POLITICAL ACTION COMMITTEE (BROADCOM PAC)","C00680504","07-JUN-18","Y"
"138","http://docquery.fec.gov/cgi-bin/fecimg/?_201806049113639645+0","CENTRUS ENERGY CORP. PAC","C00355719","04-JUN-18","Y"
"139","http://docquery.fec.gov/cgi-bin/fecimg/?_201806049113639651+0","NATIONAL WASTE & RECYCLING ASSOCIATION PAC","C00680090","04-JUN-18","Y"
"140","http://docquery.fec.gov/cgi-bin/fecimg/?_201806049113639619+0","SUN LIFE FINANCIAL (U.S.) SERVICES COMPANY INC PAC   SUN LIFE PAC","C00677146","04-JUN-18","Y"
"141","http://docquery.fec.gov/cgi-bin/fecimg/?_201806019113637761+0","ALEXION PHARMACEUTICALS INC. PAC","C00471169","01-JUN-18","Y"
"142","http://docquery.fec.gov/cgi-bin/fecimg/?_201806019113636839+0","INTERNATIONAL FOODSERVICE DISTRIBUTORS ASSOCIATION POLITICAL ACTION COMMITTEE","C00383521","01-JUN-18","Y"
"143","http://docquery.fec.gov/cgi-bin/fecimg/?_201806019113637130+0","MCAFEE EXECUTIVE HOLDINGS, INC. POLITICAL ACTION COMMITTEE (A/K/A MCAFEE PAC)","C00679985","01-JUN-18","Y"
"144","http://docquery.fec.gov/cgi-bin/fecimg/?_201806019113637337+0","OATH INC. POLITICAL ACTION COMMITTEE (OATH: PAC)","C00380535","01-JUN-18","Y"
"145","http://docquery.fec.gov/cgi-bin/fecimg/?_201806019113637352+0","VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)","C00186288","01-JUN-18","Y"
"146","http://docquery.fec.gov/cgi-bin/fecimg/?_201805319113626808+0","MUTUAL OF OMAHA COMPANIES PAC (IMPAC)","C00094581","31-MAY-18","Y"
"147","http://docquery.fec.gov/cgi-bin/fecimg/?_201805319113631228+0","NATIONAL ASSOCIATION OF LANDSCAPE PROFESSIONALS INC. PAC","C00420000","31-MAY-18","Y"
"148","http://docquery.fec.gov/cgi-bin/fecimg/?_201805319113629650+0","NATIONWIDE MUTUAL INSURANCE COMPANY FINANCIAL & INVESTMENTS POLITICAL ACTION COMMITTEE","C00406215","31-MAY-18","Y"
"149","http://docquery.fec.gov/cgi-bin/fecimg/?_201805319113629655+0","NATIONWIDE MUTUAL INSURANCE COMPANY POLITICAL ACTION COMMITTEE","C00076174","31-MAY-18","Y"
"150","http://docquery.fec.gov/cgi-bin/fecimg/?_201805309113625537+0","NUCLEAR ENERGY INSTITUTE FEDERAL POLITICAL ACTION COMMITTEE","C00239848","30-MAY-18","Y"
